No.,OPVO Code,Subject Area,Program Name (EN),University (EN),Level,Status,Reg. Date,RK Citizens (KZT),Foreign Currency,Foreign Citizens (KZT/USD),English (EPVO),Price Data Year,RK (USD equiv.),Foreign (KZT equiv.)
470,7M04109,"Business, Economics & Law",Management (Master's - 2 years),Turan,Master,Included,06.10.2025,1573200,KZT,1573200,Yes,2025-2026,3496,1573200
471,6B05205,Natural Sciences & Mathematics,Water Resources and Hydrology,International University Astana LLP,Bachelor,Included,22.08.2025,1000000,KZT,1000000,Yes,2025-2026,2222,1000000
472,7M07301,Engineering & Technology,Architecture and Modern Urban Infrastructure,Kazakh anerican free univ,Master,Updated,12.08.2021,,,,Yes,,,
473,6B07111,Engineering & Technology,Thermal Engineering,Kazakh National Agrarian Research University NPJSC,Bachelor,Updated,23.07.2019,1000000,,,Yes,2025-2026,2222,
474,7M02189,Arts & Humanities,Fashion and Costume Design,Kazakh National Academy of Arts named after Temirbek Zhurgenov under the Ministry of Culture and Information of the Republic of Kazakhstan,Master,Updated,15.09.2022,1402500,KZT,1402500,No,2025-2026,3117,1402500
475,6В01519,Education,Chemistry,Almaty Humanitarian Economic University,Bachelor,Included,02.09.2025,700000,KZT,,No,2025-2026,1556,
476,6B05301,Natural Sciences & Mathematics,Chemistry,NJC «KazNWTTU,Bachelor,Included,01.10.2025,1000000,KZT,1000000,No,2025-2026,2222,1000000
477,6B05204,Natural Sciences & Mathematics,Hydrogeology and Geoecology,Satbayev Kazakh National Research Technical University NPJSC,Bachelor,Included,22.08.2025,980280,KZT,1785000,Yes,2025-2026,2178,1785000
478,6B01505,Education,Training of Mathematics Teachers,Almaty Humanitarian Economic University,Bachelor,Updated,09.07.2019,700000,KZT,700000,Yes,2025-2026,1556,700000
479,6B10109,Healthcare & Medicine,Medicine (General),Turan,Bachelor,Updated,24.11.2023,1284000,KZT,,Yes,2024-2025,2853,
480,7M04116,"Business, Economics & Law",Finance (1 year),ALMAU,Master,Updated,21.08.2019,2310000,KZT,2310000,No,2025-2026,5133,2310000
481,6B07131,Engineering & Technology,Design and Technologies in Mechanical Engineering,Satbayev Kazakh National Research Technical University NPJSC,Bachelor,Included,26.09.2025,1111380,KZT,1700000,Yes,2025-2026,2470,1700000
482,6B07202,Engineering & Technology,Geology and Exploration of Mineral Deposits,Satbayev Kazakh National Research Technical University NPJSC,Bachelor,Updated,10.07.2019,1166940,KZT,1785000,Yes,2025-2026,2593,1785000
483,6B01701,Education,Kazakh Language and Literature,Kazakh anerican free univ,Bachelor,Updated,10.07.2019,620000,KZT,620000,No,2025-2026,1378,620000
484,6B01404,Education,Physical Culture and Sports,Kyzylorda University Bolashak LLP,Bachelor,Updated,20.09.2022,450000,KZT,450000,No,2025-2026,1000,450000
485,6B06103,Information & Communication Technologies,Software Engineering,ALMAU,Bachelor,Updated,17.07.2019,2900000,KZT,2900000,Yes,2025-2026,6444,2900000
486,6B01403,Education,Vocational Training,Almaty Humanitarian Economic University,Bachelor,Updated,12.06.2020,700000,KZT,700000,Yes,2025-2026,1556,700000
487,6B01401,Education,Physical Culture and Sport,Kazakh anerican free univ,Bachelor,Updated,19.07.2019,620000,KZT,620000,No,2025-2026,1378,620000
488,6B07500,Engineering & Technology,"Standardization, Certification and Metrology",Satbayev Kazakh National Research Technical University NPJSC,Bachelor,Updated,22.07.2019,1278060,KZT,1725381,No,2025-2026,2840,1725381
489,6B06104,Information & Communication Technologies,Data Science,ALMAU,Bachelor,Updated,25.07.2022,2900000,KZT,2900000,Yes,2025-2026,6444,2900000
490,6B10111,Healthcare & Medicine,Public Health,South Kazakhstan Medical Academy JSC,Bachelor,Updated,18.09.2023,1000000,KZT,1300000,No,2025-2026,2222,1300000
491,6B07105,Engineering & Technology,Industrial Engineering,Satbayev Kazakh National Research Technical University NPJSC,Bachelor,Updated,17.07.2019,1111380,KZT,1700000,No,2025-2026,2470,1700000
492,6B06105,Information & Communication Technologies,Product Management,ALMAU,Bachelor,Updated,28.07.2022,2900000,KZT,2900000,Yes,2025-2026,6444,2900000
493,6B07217,Engineering & Technology,Technology of Rare and Radioactive Elements,Satbayev Kazakh National Research Technical University NPJSC,Bachelor,Updated,16.07.2019,1111380,KZT,1700000,Yes,2025-2026,2470,1700000
494,7M02197,Arts & Humanities,Choreography,Kazakh National Academy of Arts named after Temirbek Zhurgenov under the Ministry of Culture and Information of the Republic of Kazakhstan,Master,Updated,03.05.2022,1402500,KZT,1402500,No,2025-2026,3117,1402500
495,6B07221,Engineering & Technology,Mine Surveying,Satbayev Kazakh National Research Technical University NPJSC,Bachelor,Updated,11.07.2019,1111380,KZT,1700000,Yes,2025-2026,2470,1700000
496,6B11101,"Services, Tourism & Transport",Restaurant Business and Hospitality,ALMAU,Bachelor,Updated,25.10.2019,3200000,KZT,3200000,Yes,2025-2026,7111,3200000
497,6B01403,Education,Vocational Training,Almaty Humanitarian Economic University,Bachelor,Updated,10.02.2023,700000,KZT,700000,Yes,2025-2026,1556,700000
498,7M03101,Social Sciences & Journalism,International Relations,UIB,Master,Updated,30.09.2019,1899000,KZT,1899000,No,2025-2026,4220,1899000
499,7R01135,Healthcare & Medicine,Oncology (adult),Kazakhstan Medical University School of Public Health LLP,Residency,Included,15.08.2025,1811300,KZT,2200000,No,2025-2026,4025,2200000
500,6B10101,Healthcare & Medicine,General Medicine,Kokshetau University named after Sh. Ualikhanov NPJSC,Bachelor,Updated,31.07.2019,997500,,,No,2025-2026,2217,
501,6B10197,Healthcare & Medicine,Medical Prevention,Kazakhstan Medical University School of Public Health LLP,Bachelor,Updated,23.05.2025,,,,No,,,
502,8D07415,Engineering & Technology,Hydraulic Structures,Kazakh National University of Water Management and Irrigation NPJSC,Doctoral (PhD),Included,12.09.2025,,,,Yes,,,
503,6B02215,Arts & Humanities,Oriental Studies in Military Affairs,Kazakh anerican free univ,Bachelor,Included,26.09.2025,,,,No,,,
504,7R01127,Healthcare & Medicine,"Ophthalmology Adult, Pediatric",Turan,Residency,Included,22.08.2025,1284000,KZT,,No,2025-2026,2853,
505,6B10173,Healthcare & Medicine,Nursing,Kazakhstan Medical University School of Public Health LLP,Bachelor,Updated,04.06.2025,,,,No,,,
506,7M02158,Arts & Humanities,Decorative Art,Kazakh National Academy of Arts named after Temirbek Zhurgenov under the Ministry of Culture and Information of the Republic of Kazakhstan,Master,Updated,29.10.2021,1402500,KZT,1402500,No,2025-2026,3117,1402500
507,6B06101,Information & Communication Technologies,Information Systems,ALMAU,Bachelor,Updated,12.08.2019,2900000,KZT,2900000,Yes,2025-2026,6444,2900000
508,7M01101,Education,Pedagogy and Psychology,Almaty Humanitarian Economic University,Master,Updated,15.08.2019,850000,KZT,850000,No,2025-2026,1889,850000
509,7M01301,Education,Pedagogy and Methodology of Primary Education,Almaty Humanitarian Economic University,Master,Updated,26.07.2019,850000,KZT,850000,No,2025-2026,1889,850000
510,7R01129,Healthcare & Medicine,"Neurosurgery (adult, pediatric)",Kazakhstan Medical University School of Public Health LLP,Residency,Included,27.08.2025,1811300,KZT,2200000,No,2025-2026,4025,2200000
511,6B04106,"Business, Economics & Law",Accounting and Audit,ALMAU,Bachelor,Updated,23.08.2024,2900000,KZT,2900000,Yes,2025-2026,6444,2900000
512,7R01132,Healthcare & Medicine,"Physical Medicine and Rehabilitation (adult, pediatric)",Kazakhstan Medical University School of Public Health LLP,Residency,Included,27.08.2025,1811300,KZT,2200000,No,2025-2026,4025,2200000
513,7M04104,"Business, Economics & Law",Executive MBA,Satbayev Kazakh National Research Technical University NPJSC,Master,Updated,19.08.2019,1200000,KZT,1600000,Yes,2025-2026,2667,1600000
514,6B03111,Social Sciences & Journalism,Practical Psychologist Training,Satbayev Kazakh National Research Technical University NPJSC,Bachelor,Updated,13.06.2020,905760,KZT,1222776,No,2025-2026,2013,1222776
515,6B06102,Information & Communication Technologies,Computer Science,Satbayev Kazakh National Research Technical University NPJSC,Bachelor,Updated,28.07.2019,1278060,KZT,1954980,Yes,2025-2026,2840,1954980
516,6B01401,Education,Physical Culture and Sport,Kazakh anerican free univ,Bachelor,Updated,26.07.2019,620000,KZT,620000,No,2025-2026,1378,620000
517,6B07321,Engineering & Technology,Calculation and Design of Buildings and Structures,International Educational Corporation LLP,Bachelor,Included,01.10.2025,1875000,KZT,1875000,Yes,2025-2026,4167,1875000
518,6B02330,Arts & Humanities,Foreign Philology,UIB,Bachelor,Updated,16.09.2019,1899000,KZT,1899000,Yes,2025-2026,4220,1899000
519,6B11200,"Services, Tourism & Transport",Occupational Health and Safety,Satbayev Kazakh National Research Technical University NPJSC,Bachelor,Updated,02.07.2019,1278060,KZT,1725381,No,2025-2026,2840,1725381
520,7M04110,"Business, Economics & Law",Management (1 year),ALMAU,Master,Updated,27.08.2019,2310000,KZT,2310000,No,2025-2026,5133,2310000
521,7M04111,"Business, Economics & Law",Finance (Master's - 2 years),Turan,Master,Updated,02.09.2019,1573200,KZT,1573200,Yes,2025-2026,3496,1573200
522,6B07101,Engineering & Technology,Power Engineering,Satbayev Kazakh National Research Technical University NPJSC,Bachelor,Updated,07.08.2019,1111380,KZT,1700000,Yes,2025-2026,2470,1700000
523,6B02102,Arts & Humanities,Design,Satbayev Kazakh National Research Technical University NPJSC,Bachelor,Included,04.09.2025,1004700,KZT,1837680,Yes,2025-2026,2233,1837680
524,6B10103,Healthcare & Medicine,Dentistry,South Kazakhstan Medical Academy JSC,Bachelor,Updated,13.12.2019,1500000,KZT,1300000,No,2025-2026,3333,1300000
525,6B02103,Arts & Humanities,Digital Filmmaking,ALMAU,Bachelor,Updated,13.08.2019,2900000,KZT,2900000,No,2025-2026,6444,2900000
526,6B07109,Engineering & Technology,Engineering Physics and Materials Science,Satbayev Kazakh National Research Technical University NPJSC,Bachelor,Updated,30.07.2024,1111380,KZT,1700000,Yes,2025-2026,2470,1700000
527,7M05321,Natural Sciences & Mathematics,Applied Chemistry,UIB,Master,Included,01.10.2025,1899000,KZT,1899000,No,2025-2026,4220,1899000
528,8D05410,Natural Sciences & Mathematics,Mathematics,UIB,Doctoral (PhD),Updated,09.07.2019,1899000,KZT,1899000,No,2025-2026,4220,1899000
529,6B01904,Education,Special Education,Non-profit joint-stock company «Arqalyq Pedagogical University named after Ybyrai Altynsarin,Bachelor,Updated,09.07.2021,,,,No,,,
530,6B05102,Natural Sciences & Mathematics,Biotechnology,Kazakh National Agrarian Research University NPJSC,Bachelor,Included,17.09.2025,1000000,,,No,2025-2026,2222,
531,6B01703,Education,Foreign Language: Two Foreign Languages (English),Kazakh anerican free univ,Bachelor,Updated,13.08.2019,620000,KZT,620000,Yes,2025-2026,1378,620000
532,6B06104,Information & Communication Technologies,Cybersecurity by Industries,Q university,Bachelor,Included,27.08.2025,750000,KZT,850000,No,2025-2026,1667,850000
533,6B02197,Arts & Humanities,Fashion and Costume Design,Kazakh National Academy of Arts named after Temirbek Zhurgenov under the Ministry of Culture and Information of the Republic of Kazakhstan,Bachelor,Updated,10.10.2024,1144250,KZT,1144250,No,2025-2026,2543,1144250
534,6B06103,Information & Communication Technologies,Mathematical and Computer Modelling,Satbayev Kazakh National Research Technical University NPJSC,Bachelor,Included,15.08.2025,1222560,KZT,1869900,Yes,2025-2026,2717,1869900
535,6В04208,"Business, Economics & Law",International Law: International Lawyer with Two Foreign Languages,Q university,Bachelor,Updated,12.08.2019,700000,KZT,,No,2025-2026,1556,
536,6B02146,Arts & Humanities,Media Journalism,Kazakh National Academy of Arts named after Temirbek Zhurgenov under the Ministry of Culture and Information of the Republic of Kazakhstan,Bachelor,Updated,10.10.2024,1094500,KZT,1094500,Yes,2025-2026,2432,1094500
537,6B03101,Social Sciences & Journalism,International Relations,Kazakh anerican free univ,Bachelor,Updated,30.09.2019,620000,KZT,620000,Yes,2025-2026,1378,620000
538,6B03103,Social Sciences & Journalism,Clinical Psychology,NJC «KazNWTTU,Bachelor,Updated,19.05.2020,1000000,KZT,1000000,Yes,2025-2026,2222,1000000
539,6B02301,Arts & Humanities,Translation and Interpretation,Kazakh anerican free univ,Bachelor,Updated,19.06.2020,620000,KZT,620000,Yes,2025-2026,1378,620000
540,6B02201,Arts & Humanities,Oriental Studies,Almaty University of Power Engineering and Telecommunications named after Gumarbek Daukeyev NPJSC,Bachelor,Updated,26.06.2020,950000,KZT,1100000,Yes,2025-2026,2111,1100000
541,6B02106,Arts & Humanities,Theatre Directing,Kazakh National Academy of Arts named after Temirbek Zhurgenov under the Ministry of Culture and Information of the Republic of Kazakhstan,Bachelor,Updated,16.08.2021,1144250,KZT,1144250,Yes,2025-2026,2543,1144250
542,6B02105,Arts & Humanities,Graphic Design,International University Astana LLP,Bachelor,Updated,08.07.2021,1200000,KZT,1200000,Yes,2025-2026,2667,1200000
543,6B02104,Arts & Humanities,Scenography,Almaty Humanitarian Economic University,Bachelor,Updated,30.06.2021,700000,KZT,700000,Yes,2025-2026,1556,700000
544,7M01501,Education,Mathematics,NJC «KazNWTTU,Master,Updated,21.08.2019,1200000,KZT,1200000,Yes,2025-2026,2667,1200000
545,6B02101,Arts & Humanities,Design,Almaty Humanitarian Economic University,Bachelor,Updated,12.08.2020,700000,KZT,700000,Yes,2025-2026,1556,700000
546,8D02111,Arts & Humanities,Composition,Kazakh National Academy of Arts named after Temirbek Zhurgenov under the Ministry of Culture and Information of the Republic of Kazakhstan,Doctoral (PhD),Updated,09.07.2019,,,,No,,,
547,7M02111,Arts & Humanities,Composition,Kazakh National Academy of Arts named after Temirbek Zhurgenov under the Ministry of Culture and Information of the Republic of Kazakhstan,Master,Updated,15.08.2019,,,,No,,,
548,6B07108,Engineering & Technology,Transport Engineering,Satbayev Kazakh National Research Technical University NPJSC,Bachelor,Updated,01.08.2023,1111380,KZT,1700000,Yes,2025-2026,2470,1700000
549,6B07120,Engineering & Technology,Power Engineering and Management,Almaty University of Power Engineering and Telecommunications named after Gumarbek Daukeyev NPJSC,Bachelor,Updated,27.07.2021,1260000,KZT,1800000,No,2025-2026,2800,1800000
550,8D07103,Engineering & Technology,"Transport, Transport Equipment and Technologies",Kazakh Automobile and Road Institute named after L.B. Goncharov (KazADI),Doctoral (PhD),Updated,25.07.2020,1600000,KZT,1600000,No,2025-2026,3556,1600000
551,6B07118,Engineering & Technology,Transport Structures,Satbayev Kazakh National Research Technical University NPJSC,Bachelor,Updated,21.01.2022,1111380,KZT,1700000,No,2025-2026,2470,1700000
552,6B07122,Engineering & Technology,Heat Power Engineering,Satbayev Kazakh National Research Technical University NPJSC,Bachelor,Included,26.09.2025,1111380,KZT,1700000,Yes,2025-2026,2470,1700000
553,6B04202,"Business, Economics & Law",Business Law,Almaty Humanitarian Economic University,Bachelor,Updated,12.08.2019,700000,KZT,700000,No,2025-2026,1556,700000
554,7M11410,"Services, Tourism & Transport",Social Work,UIB,Master,Updated,09.07.2019,1899000,KZT,1899000,No,2025-2026,4220,1899000
555,7M04117,"Business, Economics & Law",Economics,International University Astana LLP,Master,Included,28.08.2025,1100000,KZT,1100000,Yes,2025-2026,2444,1100000
556,8D04107,"Business, Economics & Law",Doctor of Business Administration (DBA),International Information Technology University JSC,Doctoral (PhD),Included,22.08.2025,5100000,KZT,5100000,Yes,2025-2026,11333,5100000
557,6B07204,Engineering & Technology,Petroleum Engineering,Satbayev Kazakh National Research Technical University NPJSC,Bachelor,Updated,19.06.2020,1166940,KZT,1785000,Yes,2025-2026,2593,1785000
558,6B06104,Information & Communication Technologies,Data Science,ALMAU,Bachelor,Included,28.08.2025,2900000,KZT,2900000,Yes,2025-2026,6444,2900000
559,6B04201,"Business, Economics & Law",Jurisprudence,Almaty Humanitarian Economic University,Bachelor,Updated,04.11.2019,700000,KZT,700000,No,2025-2026,1556,700000
560,7M04201,"Business, Economics & Law",Jurisprudence (2 years),ALMAU,Master,Updated,02.10.2019,2310000,KZT,2310000,Yes,2025-2026,5133,2310000
561,7M01104,Education,Research in Education IP,NJC «KazNWTTU,Master,Updated,09.08.2023,1200000,KZT,1200000,Yes,2025-2026,2667,1200000
562,7M01704,Education,Kazakh Language and Literature (Master's),Kazakh anerican free univ,Master,Updated,11.07.2023,620000,KZT,620000,No,2025-2026,1378,620000
563,6B07108,Engineering & Technology,Transport Engineering,Satbayev Kazakh National Research Technical University NPJSC,Bachelor,Updated,10.08.2023,1111380,KZT,1700000,Yes,2025-2026,2470,1700000
564,7R01170,Healthcare & Medicine,Pediatric Traumatology and Orthopedics,Turan,Residency,Included,06.10.2025,1284000,KZT,,No,2025-2026,2853,
565,7R01174,Healthcare & Medicine,Pediatric Otorhinolaryngology,Turan,Residency,Included,17.10.2025,1284000,KZT,,No,2025-2026,2853,
566,6B01704,Education,Russian Language and Literature in Schools with Non-Russian Language of Instruction,NJC «KazNWTTU,Bachelor,Updated,20.10.2019,1000000,KZT,1000000,No,2025-2026,2222,1000000
567,7M11101,"Services, Tourism & Transport",Restaurant and Hotel Business,ATU,Master,Updated,26.07.2019,920000,KZT,920000,No,2025-2026,2044,920000
568,6B02101,Arts & Humanities,Design,Almaty Humanitarian Economic University,Bachelor,Updated,21.08.2019,700000,KZT,700000,Yes,2025-2026,1556,700000
569,6B07193,Engineering & Technology,Electric Power Systems and Complexes,ALT,Bachelor,Included,05.08.2025,2000000,KZT,,Yes,2025-2026,4444,
570,6B06213,Information & Communication Technologies,Infocommunication Technologies and Communication Systems,ALT,Bachelor,Included,25.08.2025,2000000,KZT,,Yes,2025-2026,4444,
571,7M11378,"Services, Tourism & Transport",Logistics,ALT,Master,Included,25.08.2025,2000000,KZT,,Yes,2025-2026,4444,
572,6B02301,Arts & Humanities,Translation and Interpretation,Kazakh anerican free univ,Bachelor,Updated,14.08.2019,620000,KZT,620000,Yes,2025-2026,1378,620000
573,7M02188,Arts & Humanities,Decorative Art,Kazakh National Academy of Arts named after Temirbek Zhurgenov under the Ministry of Culture and Information of the Republic of Kazakhstan,Master,Updated,31.05.2020,1402500,KZT,1402500,No,2025-2026,3117,1402500
574,6B10117,Healthcare & Medicine,Pediatrics,Asfendiyarov Kazakh National Medical University NPJSC,Bachelor,Updated,11.09.2023,1500000,KZT,3000000,Yes,2025-2026,3333,3000000
575,6B04201,"Business, Economics & Law",Jurisprudence,Almaty Humanitarian Economic University,Bachelor,Updated,24.12.2019,700000,KZT,700000,No,2025-2026,1556,700000
576,6B01404,Education,Physical Culture and Sports,Kyzylorda University Bolashak LLP,Bachelor,Updated,11.11.2019,450000,KZT,450000,No,2025-2026,1000,450000
577,7M01503,Education,Chemistry (Scientific-Pedagogical),International University Astana LLP,Master,Updated,10.06.2021,1000000,KZT,1000000,No,2025-2026,2222,1000000
578,6B01407,Education,Physical Education and Sports (IP),International Taraz university named after Sherkhan Murtaza,Bachelor,Updated,25.06.2025,620000,KZT,620000,No,2025-2026,1378,620000
579,6B10104,Healthcare & Medicine,Medicine,Kokshetau University named after Sh. Ualikhanov NPJSC,Bachelor,Included,09.09.2025,997500,,,Yes,2025-2026,2217,
580,6B04102,"Business, Economics & Law",Mathematical Economics and Data Analysis,Satbayev Kazakh National Research Technical University NPJSC,Bachelor,Included,31.07.2025,905760,KZT,1700000,Yes,2025-2026,2013,1700000
581,6B04101,"Business, Economics & Law",Management,ALMAU,Bachelor,Updated,21.08.2019,3200000,KZT,3200000,Yes,2025-2026,7111,3200000
582,6B07202,Engineering & Technology,Geology and Exploration of Mineral Deposits,Satbayev Kazakh National Research Technical University NPJSC,Bachelor,Included,27.08.2025,1166940,KZT,1785000,Yes,2025-2026,2593,1785000
583,7M04106,"Business, Economics & Law",Economic Analysis,Satbayev Kazakh National Research Technical University NPJSC,Master,Updated,25.10.2019,1500000,KZT,1600000,Yes,2025-2026,3333,1600000
584,6B02135,Arts & Humanities,Musical and Drama Theatre Actor,Turan,Bachelor,Included,22.08.2025,1500000,KZT,1500000,No,2025-2026,3333,1500000
585,7M01401,Education,Musical Education,NJC «KazNWTTU,Master,Updated,15.08.2019,1200000,KZT,1200000,No,2025-2026,2667,1200000
586,6B02104,Arts & Humanities,Scenography,Almaty Humanitarian Economic University,Bachelor,Updated,21.08.2019,700000,KZT,700000,Yes,2025-2026,1556,700000
587,6B06112,Information & Communication Technologies,Data Science,International Information Technology University JSC,Bachelor,Updated,05.08.2019,1479000,KZT,1479000,Yes,2025-2026,3287,1479000
588,6B07108,Engineering & Technology,Transport Engineering,Satbayev Kazakh National Research Technical University NPJSC,Bachelor,Updated,01.07.2019,1111380,KZT,1700000,Yes,2025-2026,2470,1700000
589,6B06107,Information & Communication Technologies,Financial Analytics,Satbayev Kazakh National Research Technical University NPJSC,Bachelor,Included,18.07.2025,1111380,KZT,1700000,Yes,2025-2026,2470,1700000
590,6B06105,Information & Communication Technologies,Software Engineering,Almaty University of Power Engineering and Telecommunications named after Gumarbek Daukeyev NPJSC,Bachelor,Included,18.07.2025,1260000,KZT,1800000,Yes,2025-2026,2800,1800000
591,8D02103,Arts & Humanities,Sculpture,Kazakh National Academy of Arts named after Temirbek Zhurgenov under the Ministry of Culture and Information of the Republic of Kazakhstan,Doctoral (PhD),Updated,10.07.2019,1560000,KZT,1560000,Yes,2025-2026,3467,1560000
592,6B07114,Engineering & Technology,Biomedical Engineering,Satbayev Kazakh National Research Technical University NPJSC,Bachelor,Updated,28.07.2023,1222560,KZT,1869900,Yes,2025-2026,2717,1869900
593,7M02153,Arts & Humanities,Vocal Arts,Kazakh National Academy of Arts named after Temirbek Zhurgenov under the Ministry of Culture and Information of the Republic of Kazakhstan,Master,Updated,18.08.2023,,,,No,,,
594,6B03231,Social Sciences & Journalism,Library Science,International Taraz university named after Sherkhan Murtaza,Bachelor,Updated,06.11.2019,,,,No,,,
595,6B02302,Arts & Humanities,Foreign Philology (European: English-French/Spanish/German),Almaty University of Power Engineering and Telecommunications named after Gumarbek Daukeyev NPJSC,Bachelor,Updated,13.08.2020,1190000,KZT,1400000,Yes,2025-2026,2644,1400000
596,6B01702,Education,Russian language and literature,Non-profit joint-stock company «Arqalyq Pedagogical University named after Ybyrai Altynsarin,Bachelor,Updated,30.09.2019,625000,KZT,625000,No,2025-2026,1389,625000
597,7M03205,Social Sciences & Journalism,Media Management and PR,Almaty Humanitarian Economic University,Master,Included,31.07.2025,700000,KZT,,No,2025-2026,1556,
598,6B03101,Social Sciences & Journalism,Psychology,Almaty Humanitarian Economic University,Bachelor,Updated,26.08.2019,700000,KZT,700000,No,2025-2026,1556,700000
599,6B01704,Education,Russian Language and Literature in Schools with Non-Russian Language of Instruction,NJC «KazNWTTU,Bachelor,Updated,31.08.2022,1000000,KZT,1000000,No,2025-2026,2222,1000000
600,7M04110,"Business, Economics & Law",Management (1 year),ALMAU,Master,Updated,08.09.2023,2310000,KZT,2310000,Yes,2025-2026,5133,2310000
601,6B07205,Engineering & Technology,Mining Engineering,Satbayev Kazakh National Research Technical University NPJSC,Bachelor,Updated,11.12.2019,1111380,KZT,1700000,Yes,2025-2026,2470,1700000
602,8D02206,Arts & Humanities,History,Kazakh anerican free univ,Doctoral (PhD),Updated,02.09.2019,,,,Yes,,,
603,7M02210,Arts & Humanities,History,Kazakh anerican free univ,Master,Updated,19.08.2019,,,,Yes,,,
604,7M02154,Arts & Humanities,Film and TV Directing,Kazakh National Academy of Arts named after Temirbek Zhurgenov under the Ministry of Culture and Information of the Republic of Kazakhstan,Master,Updated,18.08.2023,1402500,KZT,1402500,No,2025-2026,3117,1402500
605,8D02104,Arts & Humanities,Traditional Musical Arts,Kazakh National Academy of Arts named after Temirbek Zhurgenov under the Ministry of Culture and Information of the Republic of Kazakhstan,Doctoral (PhD),Updated,01.08.2019,,,,No,,,
606,6B10113,Healthcare & Medicine,Medicine,Turan,Bachelor,Updated,31.08.2023,1284000,,,Yes,2024-2025,2853,
607,6B07101,Engineering & Technology,Power Engineering,Satbayev Kazakh National Research Technical University NPJSC,Bachelor,Updated,01.07.2019,1111380,KZT,1700000,Yes,2025-2026,2470,1700000
608,6B11101,"Services, Tourism & Transport",Restaurant Business and Hospitality,ALMAU,Bachelor,Updated,02.09.2019,3200000,KZT,3200000,Yes,2025-2026,7111,3200000
609,6B01710,Education,English Language (IP),Kokshetau University named after Sh. Ualikhanov NPJSC,Bachelor,Updated,25.07.2024,651900,,,Yes,2025-2026,1449,
610,6B07201,Engineering & Technology,Oil-and-Gas and Ore Geophysics,Satbayev Kazakh National Research Technical University NPJSC,Bachelor,Updated,30.12.2019,1166940,KZT,1785000,Yes,2025-2026,2593,1785000
611,6B01407,Education,Physical Education and Sports (IP),International Taraz university named after Sherkhan Murtaza,Bachelor,Updated,29.08.2023,620000,KZT,620000,No,2025-2026,1378,620000
612,6B01408,Education,"Fine Arts and Drawing (Visual Arts, Arts, Graphics and Design)",International Taraz university named after Sherkhan Murtaza,Bachelor,Updated,09.08.2019,,,,No,,,
613,6B11111,"Services, Tourism & Transport",Tourism Guide Service,"NLC ""International University of Tourism and Hospitality",Bachelor,Updated,08.10.2019,,KZT,510000,Yes,,,510000
614,6B01401,Education,Physical Culture and Sport,Kazakh anerican free univ,Bachelor,Updated,05.08.2019,620000,KZT,620000,No,2025-2026,1378,620000
615,7M04202,"Business, Economics & Law",Jurisprudence (Master's),Kazakh anerican free univ,Master,Updated,26.08.2019,620000,KZT,620000,Yes,2025-2026,1378,620000
616,7M04201,"Business, Economics & Law",Jurisprudence (2 years),ALMAU,Master,Updated,23.08.2019,2310000,KZT,2310000,Yes,2025-2026,5133,2310000
617,6B01711,Education,Russian Language and Literature IP,NJC «KazNWTTU,Bachelor,Updated,26.08.2024,1000000,KZT,1000000,Yes,2025-2026,2222,1000000
618,7M11102,"Services, Tourism & Transport",Tourism,ATU,Master,Updated,04.09.2019,920000,KZT,920000,No,2025-2026,2044,920000
619,7M07501,Engineering & Technology,Standardization and Certification,ATU,Master,Updated,06.09.2019,920000,KZT,920000,No,2025-2026,2044,920000
620,7M04227,"Business, Economics & Law",Procedural Law,Almaty Humanitarian Economic University,Master,Updated,06.04.2022,700000,KZT,,No,2025-2026,1556,
621,6B06201,Information & Communication Technologies,Telecommunications,Satbayev Kazakh National Research Technical University NPJSC,Bachelor,Updated,08.10.2019,1222560,KZT,1869900,Yes,2025-2026,2717,1869900
622,7M06102,Information & Communication Technologies,Machine Learning & Data Science,Satbayev Kazakh National Research Technical University NPJSC,Master,Updated,24.07.2019,1725000,KZT,2300000,Yes,2025-2026,3833,2300000
623,6B10104,Healthcare & Medicine,Medicine,Kokshetau University named after Sh. Ualikhanov NPJSC,Bachelor,Updated,25.08.2023,997500,,,Yes,2025-2026,2217,
624,7M04150,"Business, Economics & Law",Leadership 5.0: Digitalization and AI in Corporate Governance (EMBA),Satbayev Kazakh National Research Technical University NPJSC,Master,Included,02.09.2025,905760,KZT,1222776,No,2025-2026,2013,1222776
625,6B07103,Engineering & Technology,Automation and Robotics,Satbayev Kazakh National Research Technical University NPJSC,Bachelor,Updated,23.07.2019,1222560,KZT,1869900,Yes,2025-2026,2717,1869900
626,7M03205,Social Sciences & Journalism,Media Management and PR,Almaty Humanitarian Economic University,Master,Included,31.07.2025,700000,KZT,,No,2025-2026,1556,
627,6B03101,Social Sciences & Journalism,Psychology,Almaty Humanitarian Economic University,Bachelor,Updated,26.08.2019,700000,KZT,700000,No,2025-2026,1556,700000
628,6B01704,Education,Russian Language and Literature in Schools with Non-Russian Language of Instruction,NJC «KazNWTTU,Bachelor,Updated,31.08.2022,1000000,KZT,1000000,No,2025-2026,2222,1000000
629,7M04110,"Business, Economics & Law",Management (1 year),ALMAU,Master,Updated,08.09.2023,2310000,KZT,2310000,Yes,2025-2026,5133,2310000
630,6B07205,Engineering & Technology,Mining Engineering,Satbayev Kazakh National Research Technical University NPJSC,Bachelor,Updated,11.12.2019,1111380,KZT,1700000,Yes,2025-2026,2470,1700000
